checksumStart,logTime,missionTime,roll,pitch,heading,airSpeed,elevator,aileron,alfa,betha,standAngle,pressure,pressureAlt,ax,ay,az,gx,gy,gz,lc1,lc2,lc3,lc4,temprature,voltage,GPSSats,GPSLat,GPSLong,GPSAlt,GPSSpeed,checksumEnd
201,26201,45464,0,28,330,1.14,9,0,-77,-5,28,88292,1146,4.96,0.02,8.91,-0.15,0.06,-0.09,1592,1098,289,-37,26,89,0, 35.702461, 51.350739,0.00,0.04,254

201,26488,45752,0,28,330,1.22,9,0,-77,-5,28,88291,1146,4.93,0.07,8.94,-0.09,-0.12,-0.03,1593,1098,289,-37,26,90,0, 35.702461, 51.350739,0.00,0.04,254

201,26776,46040,0,28,330,1.22,9,0,-77,-5,28,88291,1146,4.91,0.05,8.93,-0.03,0.00,-0.03,1592,1098,289,-37,26,88,0, 35.702461, 51.350739,0.00,0.04,254

201,27063,46325,0,28,330,1.29,9,0,-77,-5,28,88294,1146,4.90,0.02,8.98,-0.21,-0.06,-0.03,1593,1098,289,-37,26,89,0, 35.702461, 51.350739,0.00,0.04,254

201,27254,46612,0,28,330,1.22,9,0,-77,-5,28,88297,1146,4.91,0.03,8.98,0.15,-0.06,-0.15,1593,1098,289,-37,26,90,0, 35.702461, 51.350739,0.00,0.04,254

201,27446,46804,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.89,0.04,8.96,0.03,-0.24,-0.03,1592,1098,289,-37,26,90,0, 35.702461, 51.350739,0.00,0.04,254

201,27637,46995,0,28,330,1.14,9,0,-77,-5,28,88295,1146,4.90,-0.03,8.96,-0.09,-0.06,0.09,1592,1098,289,-37,26,93,0, 35.702461, 51.350739,0.00,0.04,254

201,27924,47186,0,28,330,1.22,9,0,-77,-5,28,88293,1146,4.90,-0.00,9.03,0.15,0.00,-0.15,1593,1098,289,-37,26,91,0, 35.702461, 51.350739,0.00,0.04,254

201,28211,47474,0,28,330,1.22,9,0,-77,-5,28,88291,1146,4.95,0.00,8.98,-0.09,-0.06,0.15,1592,1098,289,-37,26,91,0, 35.702461, 51.350739,0.00,0.04,254

201,28498,47762,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.92,0.00,8.99,0.09,0.06,-0.09,1593,1098,289,-37,26,90,0, 35.702461, 51.350739,0.00,0.04,254

201,28690,48048,0,28,330,1.29,9,0,-77,-5,28,88293,1146,4.92,0.04,8.95,-0.09,-0.06,-0.03,1592,1098,289,-37,26,91,0, 35.702461, 51.350739,0.00,0.04,254

201,28881,48240,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.85,0.04,8.98,0.09,-0.06,0.03,1592,1098,289,-37,26,89,0, 35.702461, 51.350739,0.00,0.04,254

201,29168,48431,0,28,330,1.29,9,0,-77,-5,28,88293,1146,4.91,0.00,9.05,0.03,0.19,-0.15,1592,1098,289,-37,26,92,0, 35.702461, 51.350739,0.00,0.04,254

201,29360,48718,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.92,0.02,9.09,0.03,-0.12,-0.03,1593,1098,289,-37,26,92,0, 35.702461, 51.350739,0.00,0.04,254

201,29551,48910,0,28,330,1.14,9,0,-77,-5,28,88296,1146,4.90,0.04,8.98,0.15,0.06,-0.09,1592,1098,289,-37,26,94,0, 35.702427, 51.350735,0.00,0.86,254

201,29742,49100,0,28,330,1.22,9,0,-77,-5,28,88293,1146,4.90,0.04,8.98,-0.15,0.12,0.09,1592,1098,289,-37,26,94,0, 35.702427, 51.350735,0.00,0.86,254

201,29934,49292,0,28,330,1.22,9,0,-77,-5,28,88293,1146,4.92,0.01,8.97,-0.09,0.06,-0.15,1592,1098,289,-37,26,90,0, 35.702427, 51.350735,0.00,0.86,254

201,30126,49483,0,28,330,1.22,9,0,-77,-5,28,88293,1146,4.91,0.07,8.99,-0.09,0.06,-0.03,1592,1098,289,-37,26,92,0, 35.702427, 51.350735,0.00,0.86,254

201,30316,49675,0,28,330,1.22,9,0,-76,-5,28,88295,1146,4.94,-0.00,8.91,-0.09,0.00,0.03,1592,1098,289,-37,26,92,0, 35.702427, 51.350735,0.00,0.86,254

201,30603,49867,0,28,330,1.22,9,0,-77,-5,28,88293,1146,4.91,0.02,8.98,0.09,-0.06,-0.15,1593,1098,289,-37,26,93,0, 35.702423, 51.350739,0.00,0.41,254

201,30891,50154,0,28,330,1.14,9,0,-77,-5,28,88292,1146,4.91,0.01,8.91,0.21,-0.06,0.09,1592,1098,289,-37,26,93,0, 35.702423, 51.350739,0.00,0.41,254

201,31082,50441,0,28,330,1.22,9,0,-77,-5,28,88292,1146,4.92,0.01,8.97,-0.15,-0.06,0.03,1592,1098,289,-37,26,93,0, 35.702423, 51.350739,0.00,0.41,254

201,31274,50631,0,28,330,1.22,9,0,-77,-5,28,88292,1146,4.92,0.05,9.04,-0.03,0.00,-0.09,1592,1098,289,-37,26,92,0, 35.702423, 51.350739,0.00,0.41,254

201,31465,50824,0,28,330,1.14,9,0,-77,-5,28,88293,1146,4.91,0.04,8.95,-0.09,0.12,-0.15,1592,1098,289,-37,26,90,0, 35.702423, 51.350739,0.00,0.41,254

201,31656,51015,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.92,0.04,8.97,-0.21,0.00,-0.09,1592,1098,289,-37,26,92,0, 35.702423, 51.350739,0.00,0.41,254

201,31944,51207,0,28,330,1.22,9,0,-77,-5,28,88292,1146,4.92,0.00,8.92,-0.15,0.06,0.03,1593,1098,289,-37,26,91,0, 35.702423, 51.350739,0.00,0.41,254

201,32231,51493,0,28,330,1.14,9,0,-77,-5,28,88292,1146,4.89,-0.03,8.97,-0.09,0.06,-0.21,1593,1098,289,-37,26,93,0, 35.702423, 51.350739,0.00,0.41,254

201,32518,51781,0,28,330,1.14,9,0,-76,-5,28,88292,1146,4.92,0.01,8.96,-0.15,-0.06,-0.03,1592,1098,289,-37,26,93,0, 35.702423, 51.350739,0.00,0.41,254

201,32805,52068,0,29,330,1.14,9,0,-76,-5,29,88293,1146,4.89,0.03,8.96,-0.09,-0.06,0.03,1593,1098,289,-37,26,95,0, 35.702423, 51.350739,0.00,0.41,254

